node,tx_count,total_amount,avg_amount,max_amount,std_amount,tx_frequency
C1005591041,1,6469.74,6469.74,6469.74,0.0,1.0
C1005651415,1,9555.63,9555.63,9555.63,0.0,1.0
C1005707360,1,929543.53,929543.53,929543.53,0.0,1.0
C1005782739,1,3805.94,3805.94,3805.94,0.0,1.0
C1005791203,1,45249.33,45249.33,45249.33,0.0,1.0
C1005809424,1,14591.02,14591.02,14591.02,0.0,1.0
C1005891608,1,134103.27,134103.27,134103.27,0.0,1.0
C1005914030,1,1207.27,1207.27,1207.27,0.0,1.0
C1005958485,1,143723.49,143723.49,143723.49,0.0,1.0
C1005966070,1,176031.7,176031.7,176031.7,0.0,1.0
C1006000245,1,13429.38,13429.38,13429.38,0.0,1.0
C1006033934,1,1783.39,1783.39,1783.39,0.0,1.0
C1006063510,1,5862.71,5862.71,5862.71,0.0,1.0
C100620455,1,225.83,225.83,225.83,0.0,1.0
C1006297128,1,344106.28,344106.28,344106.28,0.0,1.0
C1006387312,1,9011.17,9011.17,9011.17,0.0,1.0
C100639713,1,5573.67,5573.67,5573.67,0.0,1.0
C1006413680,1,35027.29,35027.29,35027.29,0.0,1.0
C1006435246,1,5967.2,5967.2,5967.2,0.0,1.0
C1006519517,1,9930.55,9930.55,9930.55,0.0,1.0
C1006523518,1,824095.73,824095.73,824095.73,0.0,1.0
C1006546317,1,9463.64,9463.64,9463.64,0.0,1.0
C1006624255,1,1213.64,1213.64,1213.64,0.0,1.0
C1006654205,1,356438.29,356438.29,356438.29,0.0,1.0
C1006662258,1,27997.86,27997.86,27997.86,0.0,1.0
C1006750298,1,175046.2,175046.2,175046.2,0.0,1.0
C1006778810,1,81367.16,81367.16,81367.16,0.0,1.0
C1006850984,1,4866.64,4866.64,4866.64,0.0,1.0
C1006852128,1,140612.03,140612.03,140612.03,0.0,1.0
C1006859289,1,8522.73,8522.73,8522.73,0.0,1.0
C1006922911,1,91630.44,91630.44,91630.44,0.0,1.0
C1006952371,1,140022.66,140022.66,140022.66,0.0,1.0
C1007032391,1,98022.39,98022.39,98022.39,0.0,1.0
C1007076085,1,92539.91,92539.91,92539.91,0.0,1.0
C100708535,1,377287.8,377287.8,377287.8,0.0,1.0
C1007094494,1,12333.76,12333.76,12333.76,0.0,1.0
C1007112297,1,2288.44,2288.44,2288.44,0.0,1.0
C1007128813,1,332002.01,332002.01,332002.01,0.0,1.0
C1007146756,1,171618.61,171618.61,171618.61,0.0,1.0
C1007182889,1,28529.94,28529.94,28529.94,0.0,1.0
C1007314489,1,3212.49,3212.49,3212.49,0.0,1.0
C1007360931,1,15602.95,15602.95,15602.95,0.0,1.0
C1007402143,1,5983.51,5983.51,5983.51,0.0,1.0
C1007414186,1,17739.0,17739.0,17739.0,0.0,1.0
C1007429494,1,11975.27,11975.27,11975.27,0.0,1.0
C100751767,1,16925.36,16925.36,16925.36,0.0,1.0
C1007550632,1,490747.67,490747.67,490747.67,0.0,1.0
C1007568224,1,1560.63,1560.63,1560.63,0.0,1.0
C100763177,1,146132.72,146132.72,146132.72,0.0,1.0
C1007660652,1,553.25,553.25,553.25,0.0,1.0
C1007678743,1,148161.76,148161.76,148161.76,0.0,1.0
C1007684564,1,3938.65,3938.65,3938.65,0.0,1.0
C1007714612,1,501630.91,501630.91,501630.91,0.0,1.0
C100785968,1,9218.21,9218.21,9218.21,0.0,1.0
C1007873666,1,198042.55,198042.55,198042.55,0.0,1.0
C1007881394,1,27863.15,27863.15,27863.15,0.0,1.0
C100795299,1,59100.25,59100.25,59100.25,0.0,1.0
C1008034073,1,11786.26,11786.26,11786.26,0.0,1.0
C1008036274,1,2106899.77,2106899.77,2106899.77,0.0,1.0
C1008038842,1,611748.9,611748.9,611748.9,0.0,1.0
C1008085453,1,71161.62,71161.62,71161.62,0.0,1.0
C1008188683,1,4625.32,4625.32,4625.32,0.0,1.0
C1008249839,1,7662.35,7662.35,7662.35,0.0,1.0
C1008261936,1,14203.72,14203.72,14203.72,0.0,1.0
C1008310164,1,106692.19,106692.19,106692.19,0.0,1.0
C1008329124,1,88963.54,88963.54,88963.54,0.0,1.0
C1008345714,1,9399.13,9399.13,9399.13,0.0,1.0
C1008349458,1,112554.77,112554.77,112554.77,0.0,1.0
C1008352930,1,277736.81,277736.81,277736.81,0.0,1.0
C1008360407,1,2673.33,2673.33,2673.33,0.0,1.0
C1008364940,1,3872.34,3872.34,3872.34,0.0,1.0
C1008414052,1,3181.12,3181.12,3181.12,0.0,1.0
C1008419233,1,60959.2,60959.2,60959.2,0.0,1.0
C1008440515,1,1593.37,1593.37,1593.37,0.0,1.0
C1008442738,1,36833.57,36833.57,36833.57,0.0,1.0
C1008457718,1,375459.77,375459.77,375459.77,0.0,1.0
C1008462484,1,106141.58,106141.58,106141.58,0.0,1.0
C1008541433,1,144.78,144.78,144.78,0.0,1.0
C1008554825,1,1781.37,1781.37,1781.37,0.0,1.0
C1008561904,1,204307.03,204307.03,204307.03,0.0,1.0
C1008589947,1,20851.73,20851.73,20851.73,0.0,1.0
C1008608255,1,4018.12,4018.12,4018.12,0.0,1.0
C1008612116,1,2738.86,2738.86,2738.86,0.0,1.0
C1008684017,1,8184.96,8184.96,8184.96,0.0,1.0
C100868921,1,15459.95,15459.95,15459.95,0.0,1.0
C1008689929,1,14143.1,14143.1,14143.1,0.0,1.0
C1008719274,1,394.24,394.24,394.24,0.0,1.0
C1008753294,1,5000.03,5000.03,5000.03,0.0,1.0
C1008757853,1,178493.79,178493.79,178493.79,0.0,1.0
C1008774102,1,290975.16,290975.16,290975.16,0.0,1.0
C100885117,1,229222.84,229222.84,229222.84,0.0,1.0
C1008934993,1,29954.16,29954.16,29954.16,0.0,1.0
C1008947948,1,254604.06,254604.06,254604.06,0.0,1.0
C1008977493,1,28344.03,28344.03,28344.03,0.0,1.0
C1009082041,1,294446.61,294446.61,294446.61,0.0,1.0
C1009101830,1,137297.96,137297.96,137297.96,0.0,1.0
C100915781,1,459340.75,459340.75,459340.75,0.0,1.0
C1009163703,1,8218.42,8218.42,8218.42,0.0,1.0
C1009218257,1,2432.88,2432.88,2432.88,0.0,1.0
C1009383102,1,4599.02,4599.02,4599.02,0.0,1.0
C1009540213,1,186015.31,186015.31,186015.31,0.0,1.0
C1009554451,1,188406.69,188406.69,188406.69,0.0,1.0
C1009638012,1,13614.06,13614.06,13614.06,0.0,1.0
C1009658533,1,261389.06,261389.06,261389.06,0.0,1.0
C1009770787,1,50645.06,50645.06,50645.06,0.0,1.0
C100984998,1,611874.69,611874.69,611874.69,0.0,1.0
C100985205,1,1309267.06,1309267.06,1309267.06,0.0,1.0
C1009862955,1,13631.14,13631.14,13631.14,0.0,1.0
C1009916891,1,204691.97,204691.97,204691.97,0.0,1.0
C1009997767,1,6548.13,6548.13,6548.13,0.0,1.0
C1010013100,1,184753.29,184753.29,184753.29,0.0,1.0
C1010022003,1,23219.09,23219.09,23219.09,0.0,1.0
C1010035747,1,61627.51,61627.51,61627.51,0.0,1.0
C1010271040,1,162381.29,162381.29,162381.29,0.0,1.0
C1010374354,1,115517.41,115517.41,115517.41,0.0,1.0
C1010411893,1,444819.28,444819.28,444819.28,0.0,1.0
C1010419513,1,1306489.06,1306489.06,1306489.06,0.0,1.0
C1010525259,1,1899.68,1899.68,1899.68,0.0,1.0
C1010528439,1,78356.2,78356.2,78356.2,0.0,1.0
C1010575630,1,56656.62,56656.62,56656.62,0.0,1.0
C101061252,1,10237.24,10237.24,10237.24,0.0,1.0
C1010618682,1,9690.1,9690.1,9690.1,0.0,1.0
C1010620325,1,6804.77,6804.77,6804.77,0.0,1.0
C1010625414,1,7495.61,7495.61,7495.61,0.0,1.0
C1010695746,1,3009.68,3009.68,3009.68,0.0,1.0
C1010729361,1,134867.39,134867.39,134867.39,0.0,1.0
C1010756287,1,231559.67,231559.67,231559.67,0.0,1.0
C1010757476,1,2801.7,2801.7,2801.7,0.0,1.0
C1010771045,1,356120.67,356120.67,356120.67,0.0,1.0
C1010786760,1,9525.72,9525.72,9525.72,0.0,1.0
C1010805519,1,213364.71,213364.71,213364.71,0.0,1.0
C1010930977,1,8401.16,8401.16,8401.16,0.0,1.0
C1010947304,1,3397.73,3397.73,3397.73,0.0,1.0
C1010968386,1,14312.17,14312.17,14312.17,0.0,1.0
C1010971109,1,9386.08,9386.08,9386.08,0.0,1.0
C1011044643,1,12154.7,12154.7,12154.7,0.0,1.0
C1011083480,1,90461.58,90461.58,90461.58,0.0,1.0
C1011084517,1,519038.33,519038.33,519038.33,0.0,1.0
C1011092479,1,147044.22,147044.22,147044.22,0.0,1.0
C1011104118,1,41295.56,41295.56,41295.56,0.0,1.0
C101116530,1,431189.71,431189.71,431189.71,0.0,1.0
C1011188961,1,72950.37,72950.37,72950.37,0.0,1.0
C1011284745,1,4581.0,4581.0,4581.0,0.0,1.0
C1011286303,1,23688.66,23688.66,23688.66,0.0,1.0
C1011309041,1,22517.68,22517.68,22517.68,0.0,1.0
C1011339620,1,5207.88,5207.88,5207.88,0.0,1.0
C101142253,1,266010.68,266010.68,266010.68,0.0,1.0
C1011452129,1,7374.26,7374.26,7374.26,0.0,1.0
C1011463560,1,9250.02,9250.02,9250.02,0.0,1.0
C1011464970,1,266091.13,266091.13,266091.13,0.0,1.0
C1011481270,1,12123.91,12123.91,12123.91,0.0,1.0
C1011511564,1,2840.84,2840.84,2840.84,0.0,1.0
C1011519388,1,297772.67,297772.67,297772.67,0.0,1.0
C1011566381,1,7022.39,7022.39,7022.39,0.0,1.0
C1011573095,1,17687.49,17687.49,17687.49,0.0,1.0
C101158488,1,152280.57,152280.57,152280.57,0.0,1.0
C1011599868,1,198443.49,198443.49,198443.49,0.0,1.0
C101161487,1,193366.77,193366.77,193366.77,0.0,1.0
C101162911,1,221209.75,221209.75,221209.75,0.0,1.0
C1011684354,1,454129.14,454129.14,454129.14,0.0,1.0
C1011800463,1,2633.88,2633.88,2633.88,0.0,1.0
C1011810439,1,202358.57,202358.57,202358.57,0.0,1.0
C1011919970,1,7437.98,7437.98,7437.98,0.0,1.0
C1011978939,1,10343.49,10343.49,10343.49,0.0,1.0
C1012021826,1,77499.26,77499.26,77499.26,0.0,1.0
C1012108597,1,48821.45,48821.45,48821.45,0.0,1.0
C1012113410,1,122450.16,122450.16,122450.16,0.0,1.0
C1012162852,1,28546.19,28546.19,28546.19,0.0,1.0
C1012194796,1,2005.44,2005.44,2005.44,0.0,1.0
C101219677,1,6733.48,6733.48,6733.48,0.0,1.0
C1012229442,1,8006.2,8006.2,8006.2,0.0,1.0
C1012342988,1,4853.79,4853.79,4853.79,0.0,1.0
C1012349956,1,3932449.48,3932449.48,3932449.48,0.0,1.0
C1012364136,1,7533.07,7533.07,7533.07,0.0,1.0
C101237996,1,4849.23,4849.23,4849.23,0.0,1.0
C1012471122,1,8450.41,8450.41,8450.41,0.0,1.0
C1012472328,1,12552.45,12552.45,12552.45,0.0,1.0
C1012484696,1,11645.15,11645.15,11645.15,0.0,1.0
C1012484857,1,237567.83,237567.83,237567.83,0.0,1.0
C1012552887,1,272709.33,272709.33,272709.33,0.0,1.0
C1012567275,1,4327.28,4327.28,4327.28,0.0,1.0
C101256976,1,14836.47,14836.47,14836.47,0.0,1.0
C1012571819,1,129392.4,129392.4,129392.4,0.0,1.0
C1012579905,1,31018.81,31018.81,31018.81,0.0,1.0
C101269600,1,3205.87,3205.87,3205.87,0.0,1.0
C1012707347,1,12091.12,12091.12,12091.12,0.0,1.0
C1012776440,1,106622.7,106622.7,106622.7,0.0,1.0
C1012846481,1,4478.2,4478.2,4478.2,0.0,1.0
C1012902452,1,64143.49,64143.49,64143.49,0.0,1.0
C1012945516,1,5998.9,5998.9,5998.9,0.0,1.0
C1013015095,1,8398.09,8398.09,8398.09,0.0,1.0
C1013083018,1,3126.82,3126.82,3126.82,0.0,1.0
C1013086470,1,8994.43,8994.43,8994.43,0.0,1.0
C1013097003,1,1327566.28,1327566.28,1327566.28,0.0,1.0
C1013104188,1,376292.35,376292.35,376292.35,0.0,1.0
C101319115,1,2151.85,2151.85,2151.85,0.0,1.0
C1013376313,1,1271.64,1271.64,1271.64,0.0,1.0
C1013410630,1,48.82,48.82,48.82,0.0,1.0
C1013435877,1,2694220.17,2694220.17,2694220.17,0.0,1.0
C101345899,1,8299.07,8299.07,8299.07,0.0,1.0
C1013491807,1,2620.97,2620.97,2620.97,0.0,1.0
C1013528106,1,5641.56,5641.56,5641.56,0.0,1.0
C1013556637,1,9531.49,9531.49,9531.49,0.0,1.0
C1013578524,1,327109.13,327109.13,327109.13,0.0,1.0
C101360689,1,56681.0,56681.0,56681.0,0.0,1.0
C1013644121,1,31018.89,31018.89,31018.89,0.0,1.0
C1013772590,1,23713.36,23713.36,23713.36,0.0,1.0
C1013795861,1,8899.86,8899.86,8899.86,0.0,1.0
C1013835074,1,102468.21,102468.21,102468.21,0.0,1.0
C1013837478,1,128236.99,128236.99,128236.99,0.0,1.0
C1013860172,1,111671.83,111671.83,111671.83,0.0,1.0
C1013879180,1,5744.49,5744.49,5744.49,0.0,1.0
C1013885854,1,641216.77,641216.77,641216.77,0.0,1.0
C1013924367,1,3577.63,3577.63,3577.63,0.0,1.0
C1013927772,1,8656.46,8656.46,8656.46,0.0,1.0
C1013953793,1,26539.83,26539.83,26539.83,0.0,1.0
C1014050670,1,21463.67,21463.67,21463.67,0.0,1.0
C1014071026,1,6330.23,6330.23,6330.23,0.0,1.0
C1014109778,1,1622.07,1622.07,1622.07,0.0,1.0
C1014129941,1,422260.1,422260.1,422260.1,0.0,1.0
C1014141231,1,161197.69,161197.69,161197.69,0.0,1.0
C1014159739,1,15738.06,15738.06,15738.06,0.0,1.0
C1014333685,1,71049.0,71049.0,71049.0,0.0,1.0
C1014333901,1,1084294.83,1084294.83,1084294.83,0.0,1.0
C1014421488,1,147515.77,147515.77,147515.77,0.0,1.0
C1014466471,1,2.39,2.39,2.39,0.0,1.0
C1014579656,1,1239.19,1239.19,1239.19,0.0,1.0
C1014635029,1,25812.75,25812.75,25812.75,0.0,1.0
C1014698874,1,1341.34,1341.34,1341.34,0.0,1.0
C1014856099,1,134783.04,134783.04,134783.04,0.0,1.0
C1014881069,1,119234.34,119234.34,119234.34,0.0,1.0
C10148830,1,24735.59,24735.59,24735.59,0.0,1.0
C1014941698,1,8157.71,8157.71,8157.71,0.0,1.0
C1014967984,1,317708.71,317708.71,317708.71,0.0,1.0
C1014991909,1,444482.74,444482.74,444482.74,0.0,1.0
C1015065411,1,3038.2,3038.2,3038.2,0.0,1.0
C1015070306,1,16872.57,16872.57,16872.57,0.0,1.0
C1015080250,1,187275.91,187275.91,187275.91,0.0,1.0
C1015122628,1,98247.27,98247.27,98247.27,0.0,1.0
C1015139714,1,1667.18,1667.18,1667.18,0.0,1.0
C1015187389,1,267022.89,267022.89,267022.89,0.0,1.0
C1015263924,1,12772.04,12772.04,12772.04,0.0,1.0
C1015278026,1,74364.75,74364.75,74364.75,0.0,1.0
C101529156,1,736539.7,736539.7,736539.7,0.0,1.0
C1015353794,1,203410.69,203410.69,203410.69,0.0,1.0
C1015353994,1,2996.57,2996.57,2996.57,0.0,1.0
C1015401873,1,37164.82,37164.82,37164.82,0.0,1.0
C1015413072,1,164763.71,164763.71,164763.71,0.0,1.0
C1015516628,1,2009.63,2009.63,2009.63,0.0,1.0
C1015527407,1,1951.62,1951.62,1951.62,0.0,1.0
C1015539383,1,56432.77,56432.77,56432.77,0.0,1.0
C1015539793,1,13597.47,13597.47,13597.47,0.0,1.0
C1015543092,1,1051448.32,1051448.32,1051448.32,0.0,1.0
C1015545330,1,2234.3,2234.3,2234.3,0.0,1.0
C1015593003,1,20428.35,20428.35,20428.35,0.0,1.0
C1015631511,1,8066.6,8066.6,8066.6,0.0,1.0
C1015655716,1,63178.46,63178.46,63178.46,0.0,1.0
C1015658596,1,47687.62,47687.62,47687.62,0.0,1.0
C1015659282,1,188071.25,188071.25,188071.25,0.0,1.0
C1015676376,1,2782.56,2782.56,2782.56,0.0,1.0
C1015706015,1,260727.68,260727.68,260727.68,0.0,1.0
C1015799271,1,16985.23,16985.23,16985.23,0.0,1.0
C1015829779,1,6288.28,6288.28,6288.28,0.0,1.0
C1015859195,1,2459952.97,2459952.97,2459952.97,0.0,1.0
C1015888117,1,146868.94,146868.94,146868.94,0.0,1.0
C1015974397,1,295013.83,295013.83,295013.83,0.0,1.0
C1016064173,1,139845.98,139845.98,139845.98,0.0,1.0
C1016066549,1,162379.5,162379.5,162379.5,0.0,1.0
C1016130871,1,4430.34,4430.34,4430.34,0.0,1.0
C1016138445,1,16600.63,16600.63,16600.63,0.0,1.0
C1016232199,1,2686.96,2686.96,2686.96,0.0,1.0
C1016262410,1,86077.69,86077.69,86077.69,0.0,1.0
C101649500,1,628365.17,628365.17,628365.17,0.0,1.0
C1016591849,1,57520.64,57520.64,57520.64,0.0,1.0
C1016602486,1,25699.58,25699.58,25699.58,0.0,1.0
C1016622598,1,7342.09,7342.09,7342.09,0.0,1.0
C1016625178,1,3627.48,3627.48,3627.48,0.0,1.0
C1016633682,1,9006.78,9006.78,9006.78,0.0,1.0
C1016635754,1,81644.5,81644.5,81644.5,0.0,1.0
C1016654505,1,4274.53,4274.53,4274.53,0.0,1.0
C1016854117,1,160425.01,160425.01,160425.01,0.0,1.0
C1016856028,1,1795.67,1795.67,1795.67,0.0,1.0
C1016859681,1,262685.73,262685.73,262685.73,0.0,1.0
C1016865407,1,213905.2,213905.2,213905.2,0.0,1.0
C1016878589,1,439376.76,439376.76,439376.76,0.0,1.0
C1016893688,1,597.05,597.05,597.05,0.0,1.0
C1017007160,1,67.09,67.09,67.09,0.0,1.0
C1017017207,1,682.48,682.48,682.48,0.0,1.0
C1017098131,1,240548.97,240548.97,240548.97,0.0,1.0
C1017298527,1,6932.46,6932.46,6932.46,0.0,1.0
C1017351741,1,246438.62,246438.62,246438.62,0.0,1.0
C1017445843,1,336823.89,336823.89,336823.89,0.0,1.0
C1017472170,1,14440.44,14440.44,14440.44,0.0,1.0
C1017477886,1,7907.73,7907.73,7907.73,0.0,1.0
C1017502292,1,462312.19,462312.19,462312.19,0.0,1.0
C1017526396,1,6216.29,6216.29,6216.29,0.0,1.0
C1017546696,1,81517.36,81517.36,81517.36,0.0,1.0
